WEEKDAY,TIME,DATA,PREDICTDATA
THU,16:45:00,58,117.04
THU,16:51:00,58,58.93
THU,16:55:00,877,58.93
THU,17:00:00,58,58.93
THU,17:05:00,409,58.93
THU,17:10:00,58,58.93
THU,17:15:00,58,58.93
THU,17:21:00,58,58.93
THU,17:25:00,58,58.93
THU,17:30:00,58,58.93
THU,17:36:00,58,58.93
THU,17:40:00,58,58.93
THU,17:45:00,58,58.93
THU,17:50:00,58,58.93
THU,17:55:00,58,58.93
THU,18:00:00,292,58.93
THU,18:05:00,117,58.93
THU,18:10:00,58,58.93
THU,18:15:00,58,58.93
THU,18:20:00,117,58.93
THU,18:25:00,1404,58.93
THU,18:30:00,58,58.93
THU,18:35:00,58,58.93
THU,18:41:00,58,58.93
THU,18:45:00,58,58.93
THU,18:50:00,58,58.93
THU,18:55:00,58,58.93
THU,19:01:00,58,58.93
THU,19:05:00,58,58.93
THU,19:10:00,58,58.93
THU,19:15:00,58,58.93
THU,19:20:00,58,58.93
THU,19:25:00,58,58.93
THU,19:31:00,117,58.93
THU,19:36:00,58,58.93
THU,19:40:00,58,58.93
THU,19:45:00,877,58.93
THU,19:50:00,58,58.93
THU,19:56:00,58,58.93
THU,20:00:00,58,58.93
THU,20:05:00,58,58.93
THU,20:10:00,58,58.93
THU,20:15:00,58,58.93
THU,20:20:00,58,58.93
THU,20:26:00,5442,58.93
THU,20:30:00,936,58.93
THU,20:35:00,117,58.93
THU,20:40:00,58,58.93
THU,20:45:00,292,58.93
THU,20:50:00,117,58.93
THU,20:55:00,58,58.93
THU,21:00:00,468,58.93
THU,21:05:00,3160,58.93
THU,21:10:00,234,58.93
THU,21:16:00,936,58.93
THU,21:20:00,4681,58.93
THU,21:25:00,2516,761.11
THU,21:30:00,3160,586.08
THU,21:35:00,3335,586.08
THU,21:40:00,3862,586.08
THU,21:45:00,877,586.08
THU,21:51:00,468,4467.45
THU,21:56:00,4857,4467.45
THU,22:00:00,643,4467.45
THU,22:05:00,234,4467.45
THU,22:11:00,58,3410.21
THU,22:15:00,58,4467.45
THU,22:21:00,58,4467.45
THU,22:25:00,409,3410.21
THU,22:30:00,58,4467.45
THU,22:35:00,58,4467.45
